         55880329 function calls (55871021 primitive calls) in 89.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  166/104    0.000    0.000    0.006    0.000 utils.py:346(__get__)
      172    0.000    0.000    0.001    0.000 module.py:213(__next__)
       64    0.000    0.000    0.000    0.000 numpy_support.py:269(supported_ufunc_loop)
      142    0.000    0.000    0.001    0.000 instructions.py:393(__init__)
      124    0.000    0.000    0.001    0.000 builder.py:268(goto_entry_block)
      146    0.000    0.000    0.001    0.000 instructions.py:414(__init__)
       16    0.000    0.000    0.010    0.001 module.py:207(_get_body_lines)
      236    0.000    0.000    0.000    0.000 ffi.py:300(__del__)
      128    0.000    0.000    0.000    0.000 builder.py:344(_set_terminator)
      258    0.000    0.000    0.000    0.000 values.py:130(_get_reference)
       70    0.000    0.000    0.001    0.000 instructions.py:308(__init__)
      128    0.000    0.000    0.001    0.000 values.py:619(append_basic_block)
     1160    0.000    0.000    0.000    0.000 values.py:229(_get_name)
     1520    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        4    0.000    0.000    0.005    0.001 registry.py:54(apply)
      488    0.000    0.000    0.000    0.000 enum.py:348(__getitem__)
      392    0.000    0.000    0.000    0.000 values.py:527(__init__)
      222    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(clip)
      128    0.000    0.000    0.000    0.000 values.py:779(__init__)
      208    0.000    0.000    0.000    0.000 ir.py:1216(find_insts)
       24    0.000    0.000    0.000    0.000 typeinfer.py:496(fold_arg_vars)
       96    0.000    0.000    0.000    0.000 errors.py:432(catch_warnings)
      296    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       70    0.000    0.000    0.001    0.000 builder.py:548(_icmp)
      184    0.000    0.000    0.000    0.000 ansitowin32.py:55(closed)
      488    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.check_compatible}
      500    0.000    0.000    0.000    0.000 graph_abs.py:130(<lambda>)
      136    0.000    0.000    0.000    0.000 module.py:244(_next)
       38    0.000    0.000    0.000    0.000 interpreter.py:395(store)
        4    0.000    0.000    0.014    0.003 typeinfer.py:141(propagate)
        2    0.000    0.000    0.116    0.058 compiler_machinery.py:318(run)
       44    0.000    0.000    0.008    0.000 errors.py:473(__init__)
      248    0.000    0.000    0.000    0.000 builder.py:228(position_at_end)
       18    0.000    0.000    0.004    0.000 module.py:11(parse_assembly)
      128    0.000    0.000    0.001    0.000 instructions.py:162(__init__)
      222    0.000    0.000    0.003    0.000 {method 'clip' of 'numpy.ndarray' objects}
      194    0.000    0.000    0.000    0.000 numpy_support.py:85(from_dtype)
       70    0.000    0.000    0.001    0.000 instructions.py:474(__init__)
      108    0.000    0.000    0.001    0.000 instructions.py:168(<listcomp>)
      116    0.000    0.000    0.001    0.000 values.py:748(__str__)
      132    0.000    0.000    0.114    0.001 compiler_machinery.py:263(check)
      818    0.000    0.000    0.000    0.000 templates.py:46(args)
       40    0.000    0.000    0.005    0.000 lowering.py:1332(_lit_or_omitted)
       46    0.000    0.000    0.005    0.000 misc.py:56(literal)
      300    0.000    0.000    0.000    0.000 ir.py:379(__getattr__)
      752    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       48    0.000    0.000    0.000    0.000 typeinfer.py:1077(add_type)
       70    0.000    0.000    0.000    0.000 templates.py:179(signature)
      266    0.000    0.000    0.000    0.000 ffi.py:267(detach)
      358    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC850CB810}
      112    0.000    0.000    0.000    0.000 controlflow.py:381(_dfs)
       40    0.000    0.000    0.000    0.000 misc.py:85(__init__)
      276    0.000    0.000    0.001    0.000 manager.py:33(__getitem__)
       92    0.000    0.000    0.000    0.000 errors.py:217(__exit__)
       92    0.000    0.000    0.000    0.000 ffi.py:188(close)
       76    0.000    0.000    0.000    0.000 value.py:206(is_declaration)
       40    0.000    0.000    0.000    0.000 typeof.py:58(_typeof_buffer)
       40    0.000    0.000    0.001    0.000 typeof.py:37(typeof_impl)
