         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1012    0.001    0.000    0.002    0.000 numpy_support.py:331(ufunc_can_cast)
      195    0.001    0.000    0.002    0.000 ir.py:558(__repr__)
       64    0.001    0.000    0.002    0.000 controlflow.py:570(_find_back_edges)
      668    0.001    0.000    0.003    0.000 _collections_abc.py:664(__contains__)
     1336    0.001    0.000    0.022    0.000 win32.py:99(<genexpr>)
     1440    0.001    0.000    0.003    0.000 <ipython-input-7-384fda74e5bf>:6(<lambda>)
     4565    0.001    0.000    0.001    0.000 analysis.py:69(<genexpr>)
1780/1779    0.001    0.000    0.010    0.000 manager.py:33(__getitem__)
      520    0.001    0.000    0.053    0.000 values.py:797(descr)
     5747    0.001    0.000    0.001    0.000 values.py:229(_get_name)
      465    0.001    0.000    0.004    0.000 instructions.py:166(descr)
      385    0.001    0.000    0.002    0.000 analysis.py:66(fix_point_progress)
      111    0.001    0.000    0.006    0.000 abs.py:100(random_position)
      131    0.001    0.000    0.004    0.000 values.py:593(__init__)
     1041    0.001    0.000    0.002    0.000 ffi.py:257(close)
      300    0.001    0.000    0.003    0.000 agents.py:261(__init__)
1595/1389    0.001    0.000    0.003    0.000 misc.py:47(unliteral)
      9/5    0.001    0.000    0.258    0.052 typeinfer.py:141(propagate)
      536    0.001    0.000    0.001    0.000 ntpath.py:124(splitdrive)
       81    0.001    0.000    0.009    0.000 types.py:33(_get_ll_pointer_type)
      108    0.001    0.000    0.010    0.000 npydecl.py:96(generic)
      590    0.001    0.000    0.002    0.000 errors.py:432(catch_warnings)
      609    0.001    0.000    0.002    0.000 base.py:127(_match)
      561    0.001    0.000    0.003    0.000 base.py:107(_match_arglist)
      488    0.001    0.000    0.003    0.000 instructions.py:623(__init__)
      123    0.001    0.000    0.001    0.000 typeinfer.py:496(fold_arg_vars)
      103    0.001    0.000    0.035    0.000 module.py:11(parse_assembly)
     5045    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       64    0.001    0.000    0.002    0.000 inspect.py:2112(_signature_from_function)
      520    0.001    0.000    0.002    0.000 values.py:779(__init__)
  466/348    0.001    0.000    0.175    0.001 templates.py:669(_get_impl)
       44    0.001    0.000    0.056    0.001 postproc.py:68(run)
      379    0.001    0.000    0.006    0.000 builder.py:897(gep)
      397    0.001    0.000    0.002    0.000 values.py:729(__init__)
      210    0.001    0.000    0.001    0.000 containers.py:418(__init__)
      109    0.001    0.000    0.015    0.000 listobj.py:22(get_list_payload)
     1020    0.001    0.000    0.001    0.000 util.py:37(work_day)
     1109    0.001    0.000    0.001    0.000 types.py:27(as_pointer)
 1046/993    0.001    0.000    0.001    0.000 types.py:127(__eq__)
        7    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      185    0.001    0.000    0.011    0.000 lowering.py:1286(delvar)
      520    0.001    0.000    0.003    0.000 values.py:619(append_basic_block)
      520    0.001    0.000    0.001    0.000 builder.py:344(_set_terminator)
      465    0.001    0.000    0.003    0.000 instructions.py:168(<listcomp>)
     2168    0.001    0.000    0.001    0.000 __init__.py:1412(debug)
      239    0.001    0.000    0.002    0.000 instructions.py:308(__init__)
      334    0.001    0.000    0.035    0.000 initialise.py:23(init)
      222    0.001    0.000    0.001    0.000 _methods.py:87(_clip_dep_invoke_with_casting)
     1195    0.001    0.000    0.001    0.000 types.py:240(format_constant)
     2460    0.001    0.000    0.001    0.000 util.py:25(new_day)
     2455    0.001    0.000    0.001    0.000 ffi.py:55(__getattr__)
      136    0.001    0.000    0.001    0.000 ntpath.py:450(normpath)
        4    0.001    0.000    0.005    0.001 byteflow.py:78(run)
     1134    0.001    0.000    0.001    0.000 builder.py:228(position_at_end)
      514    0.001    0.000    0.003    0.000 abstract.py:48(_intern)
      328    0.001    0.000    0.004    0.000 builder.py:717(alloca)
      940    0.001    0.000    0.002    0.000 ffi.py:300(__del__)
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
       73    0.001    0.000    0.001    0.000 agents.py:344(move_to)
     1431    0.001    0.000    0.001    0.000 ir.py:379(__getattr__)
      114    0.001    0.000    0.003    0.000 module.py:45(add_metadata)
      892    0.001    0.000    0.001    0.000 os.py:740(encodekey)
      237    0.001    0.000    0.003    0.000 builder.py:548(_icmp)
      239    0.001    0.000    0.002    0.000 instructions.py:324(descr)
     1200    0.001    0.000    0.001    0.000 types.py:116(__init__)
      107    0.000    0.000    0.005    0.000 instructions.py:176(set_weights)
      173    0.000    0.000    0.024    0.000 lowering.py:1262(storevar)
       34    0.000    0.000    0.004    0.000 inline_closurecall.py:1314(_inline_const_arraycall)
       56    0.000    0.000    0.002    0.000 controlflow.py:653(_find_loops)
      328    0.000    0.000    0.003    0.000 instructions.py:474(__init__)
      277    0.000    0.000    0.001    0.000 ir.py:1205(find_exprs)
     1194    0.000    0.000    0.002    0.000 controlflow.py:101(add_edge)
      906    0.000    0.000    0.004    0.000 functions.py:229(_unlit_non_poison)
